run_id,model,strategy,target_prevalence,feature,importance
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,receiver_entity_type,0.008363581961466976
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,amount_paid,0.05033443743599174
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,amount_received,0.053009925464944777
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,payment_format,0.12197323012764992
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,payment_currency,0.013125186331591284
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,hour,0.03738498420120695
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,day_of_week,0.0285625377040117
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,same_bank_flag,0.008881152867405817
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,self_transfer_flag,0.006766560233495998
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,currency_mismatch,0.0003800084107622295
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,amount_ratio,0.00028495955057884423
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,fan_in_score,0.04758983733195881
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,fan_out_score,0.01971776579597477
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,sender_tx_count_1d,0.03242951583976817
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,sender_tx_count_7d,0.05984743275834323
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,sender_tx_count_30d,0.059052617312102255
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,sender_avg_amount_7d,0.035815820715370726
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,sender_avg_amount_30d,0.05521089236004786
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,sender_unique_counterparties_7d,0.024486981693275275
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,sender_unique_counterparties_30d,0.018065166206781252
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,sender_cross_bank_ratio_30d,0.030746176978717503
random_forest__class_weighting__p010__20260407_132552,random_forest,class_weighting,0.01,sender_entity_type,0.010880565264803346
